amortized_time_per_query,avg_query_time,buffer_size_max,buffer_size_min,database,dataset_size,elapsed_seconds,gpu_memory_used_mb,gpu_utilization_percent,initialization_time,mode,note,num_queries,query,result_row_count,session_total_time,test_timestamp,total_time
0.005090017318725586,0.004792115688323975,,,duckdb,100k,0.5259742736816406,,,0.029790163040161133,persistent_session,,100,1_hop,521,0.47921156883239746,2025-11-29T10:06:09.893049,0.5090017318725586
0.009686191082000733,0.00941087007522583,,,duckdb,100k,0.9902064800262451,,,0.027532100677490234,persistent_session,,100,2_hop,252,0.941087007522583,2025-11-29T10:06:10.883264,0.9686191082000732
0.011742122173309326,0.01147244930267334,,,duckdb,100k,1.1982369422912598,,,0.026967287063598633,persistent_session,,100,3_hop,184,1.147244930267334,2025-11-29T10:06:12.081511,1.1742122173309326
0.019309535026550292,0.019029691219329833,,,duckdb,100k,1.9647622108459473,,,0.0279843807220459,persistent_session,,100,k_hop,1082,1.9029691219329834,2025-11-29T10:06:14.046282,1.9309535026550293
0.010444712638854981,0.010171215534210205,,,duckdb,100k,1.0709142684936523,,,0.02734971046447754,persistent_session,,100,shortest_path,2642,1.0171215534210205,2025-11-29T10:06:15.117208,1.044471263885498
0.017935197353363037,0.012430334799360522,2 GB,1 GB,sirius,100k,1.9120666980743408,1292.38671875,0,0.5380559206008911,persistent_session,Query timing estimated from total time,100,1_hop,521,1.2554638147354127,2025-11-29T10:06:17.029307,1.7935197353363037
0.01426417350769043,0.009886060846914159,2 GB,1 GB,sirius,100k,1.543405532836914,1292.38671875,2,0.42792520523071287,persistent_session,Query timing estimated from total time,100,2_hop,252,0.9984921455383301,2025-11-29T10:06:18.572754,1.426417350769043
0.013566951751708984,0.009402837847719099,2 GB,1 GB,sirius,100k,1.4771246910095215,1292.38671875,1,0.4070085525512695,persistent_session,Query timing estimated from total time,100,3_hop,184,0.949686622619629,2025-11-29T10:06:20.049916,1.3566951751708984
0.018140840530395507,0.012572859773541441,2 GB,1 GB,sirius,100k,1.9314346313476562,1292.38671875,1,0.5442252159118652,persistent_session,Query timing estimated from total time,100,k_hop,1082,1.2698588371276855,2025-11-29T10:06:21.981390,1.8140840530395508
0.03965922832489013,0.027486593888537716,2 GB,1 GB,sirius,100k,4.078399419784546,1292.38671875,1,1.189776849746704,persistent_session,Query timing estimated from total time,100,shortest_path,2642,2.7761459827423094,2025-11-29T10:06:26.059828,3.9659228324890137
