amortized_time_per_query,avg_query_time,buffer_size_max,buffer_size_min,database,dataset_size,elapsed_seconds,gpu_memory_used_mb,gpu_utilization_percent,initialization_time,mode,note,num_queries,query,result_row_count,session_total_time,test_timestamp,total_time
0.018770642280578613,0.013009356036044582,2 GB,1 GB,sirius,100k,2.004693031311035,1428.671875,0,0.5631192684173584,persistent_session,Query timing estimated from total time,100,1_hop,521,1.3139449596405028,2025-11-29T10:34:39.035421,1.8770642280578613
0.01718010663986206,0.011907004601884598,2 GB,1 GB,sirius,100k,1.8337461948394775,1428.671875,0,0.5154031991958617,persistent_session,Query timing estimated from total time,100,2_hop,252,1.2026074647903444,2025-11-29T10:34:40.869202,1.718010663986206
0.015976917743682862,0.011073111307502973,2 GB,1 GB,sirius,100k,1.7104449272155762,1428.671875,1,0.47930753231048584,persistent_session,Query timing estimated from total time,100,3_hop,184,1.1183842420578003,2025-11-29T10:34:42.579684,1.5976917743682861
0.019115638732910157,0.013248462488155553,2 GB,1 GB,sirius,100k,2.031437873840332,1428.671875,0,0.5734691619873047,persistent_session,Query timing estimated from total time,100,k_hop,1082,1.338094711303711,2025-11-29T10:34:44.611161,1.9115638732910156
0.015559871196746827,0.010784069146260176,2 GB,1 GB,sirius,100k,1.665494680404663,1428.671875,1,0.46679613590240476,persistent_session,Query timing estimated from total time,100,shortest_path,2642,1.0891909837722777,2025-11-29T10:34:46.276690,1.5559871196746826
0.024731576442718506,0.01714069654445837,4 GB,2 GB,sirius,1m,2.6431515216827393,1428.671875,0,0.7419472932815552,persistent_session,Query timing estimated from total time,100,1_hop,6867,1.7312103509902954,2025-11-29T10:34:48.919901,2.4731576442718506
0.026079137325286866,0.018074649631386934,4 GB,2 GB,sirius,1m,2.783487558364868,1428.671875,0,0.7823741197586059,persistent_session,Query timing estimated from total time,100,2_hop,3865,1.8255396127700805,2025-11-29T10:34:51.703434,2.6079137325286865
0.03208928346633911,0.022240097451918194,4 GB,2 GB,sirius,1m,3.3891820907592773,1428.390625,0,0.9626785039901733,persistent_session,Query timing estimated from total time,100,3_hop,2793,2.2462498426437376,2025-11-29T10:34:55.092651,3.208928346633911
0.02611751317977905,0.01810124675826271,4 GB,2 GB,sirius,1m,2.842360496520996,1428.390625,0,0.7835253953933715,persistent_session,Query timing estimated from total time,100,k_hop,15538,1.8282259225845339,2025-11-29T10:34:57.935049,2.6117513179779053
0.05346395969390869,0.0370542294908278,4 GB,2 GB,sirius,1m,5.526148557662964,1427.828125,0,1.6039187908172607,persistent_session,Query timing estimated from total time,100,shortest_path,28718,3.7424771785736084,2025-11-29T10:35:03.461241,5.346395969390869
0.07173106908798217,0.049714602338205474,8 GB,4 GB,sirius,5m,7.648061037063599,1217.171875,2,2.151932072639465,persistent_session,Query timing estimated from total time,100,1_hop,34971,5.021174836158753,2025-11-29T10:35:11.109360,7.173106908798218
0.06288151264190674,0.04358124638547992,8 GB,4 GB,sirius,5m,6.631816387176514,1217.171875,1,1.886445379257202,persistent_session,Query timing estimated from total time,100,2_hop,23102,4.401705884933472,2025-11-29T10:35:17.741214,6.288151264190674
0.06573598384857178,0.04555959276633688,8 GB,4 GB,sirius,5m,6.920608758926392,1216.546875,0,1.9720795154571533,persistent_session,Query timing estimated from total time,100,3_hop,19891,4.601518869400024,2025-11-29T10:35:24.661856,6.573598384857178
0.06487746000289916,0.04496457623963309,8 GB,4 GB,sirius,5m,7.145106792449951,1216.234375,1,1.946323800086975,persistent_session,Query timing estimated from total time,100,k_hop,95014,4.541422200202942,2025-11-29T10:35:31.806998,6.487746000289917
0.08653706073760986,0.059976180709234564,8 GB,4 GB,sirius,5m,9.148560523986816,1216.234375,1,2.5961118221282957,persistent_session,Query timing estimated from total time,100,shortest_path,138288,6.057594251632691,2025-11-29T10:35:40.955620,8.653706073760986
0.08088362216949463,0.05605795595905568,8 GB,6 GB,sirius,20m,8.602855205535889,1216.234375,0,2.426508665084839,persistent_session,Query timing estimated from total time,100,1_hop,154506,5.661853551864624,2025-11-29T10:35:49.558533,8.088362216949463
0.07477068185806274,0.05182126465410289,8 GB,6 GB,sirius,20m,8.411764144897461,1198.671875,2,2.2431204557418822,persistent_session,Query timing estimated from total time,100,2_hop,116132,5.233947730064392,2025-11-29T10:35:57.970333,7.477068185806274
0.07433792352676391,0.05152133313736113,8 GB,6 GB,sirius,20m,8.755823373794556,1281.9609375,3,2.2301377058029175,persistent_session,Query timing estimated from total time,100,3_hop,109776,5.203654646873474,2025-11-29T10:36:06.726194,7.433792352676392
0.10211398363113404,0.0707720678631622,8 GB,6 GB,sirius,20m,13.013696908950806,1255.953125,2,3.063419508934021,persistent_session,Query timing estimated from total time,100,k_hop,482672,7.1479788541793825,2025-11-29T10:36:19.739925,10.211398363113403
0.0768868350982666,0.053287905513650126,8 GB,6 GB,sirius,20m,10.41997504234314,1272.6328125,9,2.306605052947998,persistent_session,Query timing estimated from total time,100,shortest_path,614897,5.382078456878663,2025-11-29T10:36:30.159940,7.68868350982666
